date,rate_change,ecb_deposit_facility_rate
1999-01-04,0.75,2.75
1999-01-22,-0.75,2.0
1999-04-09,-0.5,1.5
1999-11-05,0.5,2.0
2000-02-04,0.25,2.25
2000-03-17,0.25,2.5
2000-04-28,0.25,2.75
2000-06-09,0.5,3.25
2000-09-01,0.25,3.5
2000-10-06,0.25,3.75
2001-05-11,-0.25,3.5
2001-08-31,-0.25,3.25
2001-09-18,-0.5,2.75
2001-11-09,-0.5,2.25
2002-12-06,-0.5,1.75
2003-03-07,-0.25,1.5
2003-06-06,-0.5,1.0
2005-12-06,0.25,1.25
2006-03-08,0.25,1.5
2006-06-15,0.25,1.75
2006-08-09,0.25,2.0
2006-10-11,0.25,2.25
2006-12-13,0.25,2.5
2007-03-14,0.25,2.75
2007-06-13,0.25,3.0
2008-07-09,0.25,3.25
2008-10-08,-0.5,2.75
2008-10-09,0.5,3.25
2008-11-12,-0.5,2.75
2008-12-10,-0.75,2.0
2009-01-21,-1.0,1.0
2009-03-11,-0.5,0.5
2009-04-08,-0.25,0.25
2011-04-13,0.25,0.5
2011-07-13,0.25,0.75
2011-11-09,-0.25,0.5
2011-12-14,-0.25,0.25
2012-07-11,-0.25,0.0
2013-05-08,0.0,0.0
2013-11-13,0.0,0.0
2014-06-11,-0.1,-0.10000000000000009
2014-09-10,-0.1,-0.20000000000000018
2015-12-09,-0.1,-0.30000000000000027
2016-03-16,-0.1,-0.40000000000000036
2019-09-18,-0.1,-0.5000000000000004
2022-07-27,0.5,-4.440892098500626e-16
2022-09-14,0.75,0.7499999999999996
2022-11-02,0.75,1.4999999999999996
2022-12-21,0.5,1.9999999999999996
2023-02-08,0.5,2.4999999999999996
2023-03-22,0.5,2.9999999999999996
2023-05-10,0.25,3.2499999999999996
2023-06-21,0.25,3.4999999999999996
2023-08-02,0.25,3.7499999999999996
2023-09-20,0.25,3.9999999999999996
2024-06-12,-0.25,3.7499999999999996
2024-09-18,-0.25,3.4999999999999996
2024-10-23,-0.25,3.2499999999999996
2024-12-18,-0.25,2.9999999999999996
2025-02-05,-0.25,2.7499999999999996
2025-03-12,-0.25,2.4999999999999996
2025-04-23,-0.25,2.2499999999999996
2025-06-11,-0.25,1.9999999999999996
2026-06-17,0.25,2.2499999999999996
