date,household_credit
2003-03-31,57764
2003-06-30,59857
2003-09-30,63952
2003-12-31,68341
2004-03-31,72072
2004-06-30,77979
2004-09-30,85134
2004-12-31,91040
2005-03-31,95585
2005-06-30,102264
2005-09-30,109447
2005-12-30,115192
2006-03-31,119803
2006-06-30,125628
2006-09-29,130718
2006-12-29,133618
2007-03-30,135558
2007-06-29,139440
2007-09-28,144715
2007-12-31,148136
2008-03-31,149670
2008-06-30,145631
2008-09-30,147916
2008-12-31,138315
2009-03-31,143195
2009-06-30,142881
2009-09-30,137168
2009-12-31,135720
2010-03-31,133020
2010-06-30,129513
2010-09-30,128256
2010-12-31,121255
2011-03-31,120155
2011-06-30,119027
2011-09-30,117872
2011-12-30,99955
2012-03-30,98713
2012-06-29,98008
2012-09-28,96939
2012-12-31,101947
2013-03-28,100440
2013-06-28,99460
2013-09-30,100510
2013-12-31,98738
2014-03-31,97812
2014-06-30,94452
2014-09-30,93757
2014-12-31,90952
2015-03-31,89967
2015-06-30,89557
2015-09-30,88723
2015-12-31,89141
2016-03-31,86581
2016-06-30,86328
2016-09-30,87623
2016-12-30,86134
2017-03-31,86577
2017-06-30,89535
2017-09-29,90432
2017-12-29,88117
2018-03-29,88520
2018-06-29,89017
2018-09-28,90372
2018-12-31,89948
2019-03-29,88381
2019-06-28,88413
2019-09-30,90380
2019-12-31,90745
2020-03-31,86290
2020-06-30,85922
2020-09-30,86856
2020-12-31,85766
2021-03-31,85726
2021-06-30,85210
2021-09-30,80885
2021-12-31,81991
2022-03-31,96192
2022-06-30,95431
2022-09-30,95183
2022-12-30,95150
2023-03-31,94661
2023-06-30,95169
2023-09-29,95924
2023-12-29,96212
2024-03-28,96209
2024-06-28,96824
2024-09-30,97621
2024-12-31,98597
2025-03-31,99184
2025-06-30,104494
2025-09-30,106527
