date,pdh_mortgage_accounts,pdh_arrears_accounts,pdh_arrears_90_plus_accounts,pdh_arrears_rate,pdh_arrears_90_plus_rate
2009-09-30,794609,63619,8504,8.006327640386655,1.0702118903762732
2009-12-31,792885,69647,9418,8.783997679360816,1.1878141218461693
2010-03-31,791047,76100,10504,9.62016163388522,1.327860417901844
2010-06-30,789814,82377,11641,10.429924007424534,1.4738913212477875
2010-09-30,788745,86362,12423,10.94929286398012,1.575033756156933
2010-12-31,786164,89234,13170,11.350557898860798,1.6752229814644273
2011-03-31,782429,94518,14268,12.080073719148958,1.8235520411436692
2011-06-30,777321,102397,15723,13.173064924271955,2.02271648392363
2011-09-30,773420,110597,16599,14.299733650539165,2.1461818934084973
2011-12-30,768955,118464,18373,15.405842994713606,2.3893465807491987
2012-03-30,764138,122941,18727,16.08884782591626,2.4507353383812873
2012-06-29,765267,128197,18764,16.751931025380685,2.4519546772564347
2012-09-28,794275,141389,70736,17.801013502879982,8.905731642063518
2012-12-31,778375,139224,69176,17.886494299020395,8.887233017504416
2013-03-28,774109,142118,69614,18.358913279654416,8.992790420987225
2013-06-28,770610,142892,69014,18.542712915742072,8.955762318163533
2013-09-30,768136,141269,66902,18.391144276534362,8.709655581824052
2013-12-31,764541,136558,62882,17.86143581573781,8.224804163543878
2014-03-31,762454,132217,57792,17.340980570631146,7.5797359578413905
2014-06-30,762575,126005,53277,16.523620627479264,6.986460348162475
2014-09-30,760238,117889,47471,15.506854432427739,6.244228780987006
2014-12-31,758988,110366,40921,14.541204867534137,5.3915213415758885
2015-03-31,757175,104693,36462,13.826790372106846,4.815531416119128
2015-06-30,754688,98155,32253,13.006036931818182,4.273686609565807
2015-09-30,749851,92361,28333,12.317247026409246,3.7784839921531073
2015-12-31,746618,88292,25580,11.825592203777568,3.426116166500138
2016-03-31,744685,86808,24193,11.657009339519394,3.2487561855012523
2016-06-30,741785,82882,22856,11.17331841436535,3.0812162553839726
2016-09-30,739421,80321,22043,10.862688508982028,2.981116305866347
2016-12-30,737795,78249,21064,10.605791581672417,2.8549935957820263
2017-03-31,734976,77125,20385,10.493539925113202,2.773559952978056
2017-06-30,733289,74410,19792,10.14743164018552,2.699072262095845
2017-09-29,731928,73197,19245,10.000573826933797,2.6293569859330423
2017-12-29,730856,71515,19655,9.785101305865998,2.6893122585023588
2018-03-29,728575,71828,19118,9.858696771094259,2.6240263528119963
2018-06-29,725626,66426,17767,9.154302629729365,2.448506530912619
2018-09-28,750091,68538,18347,9.137291341983838,2.4459698889868027
2018-12-31,749539,66549,17380,8.878657414757605,2.318758596950926
2019-03-29,747326,66218,16588,8.86065786550983,2.2196471151813264
2019-06-28,744451,65043,16375,8.737042464849937,2.1996074959936918
2019-09-30,742526,61802,43518,8.323210231022212,5.860804874172756
2019-12-31,742075,60596,42065,8.165751440218306,5.668564498197622
2020-03-31,739592,63437,41079,8.57729667167844,5.554278575214442
2020-06-30,736307,56792,41061,7.7130870683016735,5.576614102541467
2020-09-30,733301,55448,39917,7.561424299162281,5.443467280148261
2020-12-31,731988,54986,38785,7.511871779318787,5.298584129794477
2021-03-31,728071,52148,37723,7.162488273808461,5.181225457407313
2021-06-30,724800,49161,35913,6.782698675496689,4.954884105960265
2021-09-30,722886,47680,34182,6.5957841208710635,4.728546409807356
2021-12-31,738714,48990,34096,6.631795254997199,4.615588712275658
2022-03-31,735838,48704,32877,6.618848170385329,4.46796713407027
2022-06-30,733158,46659,31966,6.36411251053661,4.360042446512211
2022-09-30,729541,46322,31130,6.349471791167323,4.26706655280512
2022-12-30,725020,47330,29841,6.528095776668231,4.115886458304598
2023-03-31,720015,48780,29305,6.7748588571071435,4.07005409609522
2023-06-30,715788,46891,29346,6.550962016686506,4.099817264329662
2023-09-29,712233,47325,29298,6.644595237794373,4.113541495549911
2023-12-29,710447,47734,29034,6.71886854332554,4.0867228660266
2024-03-28,706703,47622,28769,6.738615797583993,4.070875601207296
2024-06-28,704335,45844,28198,6.508834574456756,4.003492656193431
2024-09-30,702758,43539,27746,6.195447081356598,3.948158541062499
2024-12-31,702479,42386,26900,6.033774675114843,3.82929596471923
2025-03-31,699890,40337,25882,5.763334238237437,3.6980096872365658
2025-06-30,698335,37750,24583,5.405715022159852,3.5202302619802817
2025-09-30,698933,36106,23779,5.16587426834904,3.402185903369851
2025-12-31,699968,36253,22657,5.179236765109263,3.2368622565603
2026-03-31,698459,34996,21302,5.010458738451362,3.049856899259656
