date,mortgage_rate
2014-12-31,4.19
2015-03-31,4.26
2015-06-30,4.11
2015-09-30,4.08
2015-12-31,3.97
2016-03-31,3.94
2016-06-30,3.91
2016-09-30,3.82
2016-12-30,3.77
2017-03-31,3.76
2017-06-30,3.78
2017-09-29,3.75
2017-12-29,3.66
2018-03-29,3.61
2018-06-29,3.63
2018-09-28,3.58
2018-12-31,3.55
2019-03-29,3.54
2019-06-28,3.49
2019-09-30,3.48
2019-12-31,3.48
2020-03-31,3.45
2020-06-30,3.45
2020-09-30,3.43
2020-12-31,3.43
2021-03-31,3.46
2021-06-30,3.47
2021-09-30,3.44
2021-12-31,3.45
2022-03-31,3.5
2022-06-30,3.52
2022-09-30,3.52
2022-12-30,3.5
2023-03-31,3.64
2023-06-30,3.64
2023-09-29,4.02
2023-12-29,4.07
2024-03-28,4.19
2024-06-28,4.18
2024-09-30,4.16
2024-12-31,4.16
2025-03-31,4.16
2025-06-30,4.15
2025-09-30,4.14
2025-12-31,4.13
2026-03-31,4.12
2026-06-30,4.13
