date,property_price_index
2005-01-01,124.9
2005-02-01,125.9
2005-03-01,126.6
2005-04-01,127.5
2005-05-01,128.4
2005-06-01,129.5
2005-07-01,131.6
2005-08-01,133.8
2005-09-01,135.2
2005-10-01,138.1
2005-11-01,139.3
2005-12-01,140.7
2006-01-01,141.4
2006-02-01,141.7
2006-03-01,142.5
2006-04-01,144.6
2006-05-01,147.6
2006-06-01,150.3
2006-07-01,153.7
2006-08-01,157.1
2006-09-01,158.4
2006-10-01,159.4
2006-11-01,159.4
2006-12-01,160.6
2007-01-01,162.0
2007-02-01,162.7
2007-03-01,162.9
2007-04-01,163.6
2007-05-01,163.1
2007-06-01,162.7
2007-07-01,163.2
2007-08-01,162.8
2007-09-01,162.9
2007-10-01,162.4
2007-11-01,162.3
2007-12-01,161.4
2008-01-01,160.0
2008-02-01,158.6
2008-03-01,157.3
2008-04-01,155.9
2008-05-01,154.2
2008-06-01,152.7
2008-07-01,151.8
2008-08-01,150.3
2008-09-01,148.3
2008-10-01,145.1
2008-11-01,142.5
2008-12-01,139.8
2009-01-01,136.2
2009-02-01,132.3
2009-03-01,128.9
2009-04-01,126.0
2009-05-01,123.1
2009-06-01,121.0
2009-07-01,119.3
2009-08-01,117.7
2009-09-01,117.7
2009-10-01,116.3
2009-11-01,115.9
2009-12-01,114.3
2010-01-01,113.2
2010-02-01,111.4
2010-03-01,110.0
2010-04-01,109.4
2010-05-01,107.5
2010-06-01,106.3
2010-07-01,105.2
2010-08-01,104.9
2010-09-01,103.6
2010-10-01,101.9
2010-11-01,99.8
2010-12-01,98.3
2011-01-01,97.5
2011-02-01,95.6
2011-03-01,93.3
2011-04-01,92.0
2011-05-01,90.4
2011-06-01,89.1
2011-07-01,87.2
2011-08-01,85.0
2011-09-01,83.2
2011-10-01,81.7
2011-11-01,80.3
2011-12-01,79.1
2012-01-01,77.8
2012-02-01,76.0
2012-03-01,76.4
2012-04-01,75.2
2012-05-01,75.0
2012-06-01,74.8
2012-07-01,75.6
2012-08-01,75.7
2012-09-01,76.3
2012-10-01,76.6
2012-11-01,76.3
2012-12-01,76.6
2013-01-01,75.2
2013-02-01,74.4
2013-03-01,73.4
2013-04-01,73.7
2013-05-01,73.7
2013-06-01,75.6
2013-07-01,77.4
2013-08-01,78.5
2013-09-01,79.7
2013-10-01,80.2
2013-11-01,80.6
2013-12-01,81.5
2014-01-01,81.6
2014-02-01,82.0
2014-03-01,82.5
2014-04-01,84.3
2014-05-01,86.5
2014-06-01,89.0
2014-07-01,91.7
2014-08-01,93.6
2014-09-01,95.6
2014-10-01,96.6
2014-11-01,96.9
2014-12-01,96.2
2015-01-01,96.5
2015-02-01,96.2
2015-03-01,96.5
2015-04-01,97.3
2015-05-01,98.4
2015-06-01,100.0
2015-07-01,100.8
2015-08-01,102.0
2015-09-01,102.4
2015-10-01,103.5
2015-11-01,103.2
2015-12-01,103.0
2016-01-01,104.0
2016-02-01,103.4
2016-03-01,103.7
2016-04-01,104.3
2016-05-01,104.5
2016-06-01,105.6
2016-07-01,107.9
2016-08-01,109.4
2016-09-01,110.7
2016-10-01,111.2
2016-11-01,112.7
2016-12-01,112.2
2017-01-01,113.0
2017-02-01,113.3
2017-03-01,113.8
2017-04-01,114.2
2017-05-01,115.9
2017-06-01,117.5
2017-07-01,120.4
2017-08-01,122.2
2017-09-01,123.9
2017-10-01,124.3
2017-11-01,125.3
2017-12-01,125.9
2018-01-01,126.5
2018-02-01,127.4
2018-03-01,128.2
2018-04-01,129.5
2018-05-01,130.3
2018-06-01,131.6
2018-07-01,132.4
2018-08-01,133.1
2018-09-01,134.4
2018-10-01,134.7
2018-11-01,134.2
2018-12-01,133.8
2019-01-01,133.1
2019-02-01,132.9
2019-03-01,133.0
2019-04-01,133.3
2019-05-01,133.6
2019-06-01,134.2
2019-07-01,135.3
2019-08-01,135.7
2019-09-01,135.9
2019-10-01,136.0
2019-11-01,135.7
2019-12-01,134.2
2020-01-01,134.4
2020-02-01,134.2
2020-03-01,134.3
2020-04-01,134.2
2020-05-01,134.1
2020-06-01,134.2
2020-07-01,134.4
2020-08-01,134.5
2020-09-01,134.8
2020-10-01,135.4
2020-11-01,136.2
2020-12-01,137.2
2021-01-01,137.8
2021-02-01,138.3
2021-03-01,139.0
2021-04-01,140.2
2021-05-01,141.3
2021-06-01,143.4
2021-07-01,145.8
2021-08-01,149.1
2021-09-01,151.5
2021-10-01,153.3
2021-11-01,155.3
2021-12-01,156.7
2022-01-01,158.1
2022-02-01,159.1
2022-03-01,159.9
2022-04-01,160.5
2022-05-01,161.7
2022-06-01,163.4
2022-07-01,165.0
2022-08-01,166.7
2022-09-01,167.7
2022-10-01,168.1
2022-11-01,168.4
2022-12-01,168.8
2023-01-01,167.9
2023-02-01,167.3
2023-03-01,166.3
