date,retail_sales_index
2021-01-01,80.0
2021-02-01,89.8
2021-03-01,90.1
2021-04-01,90.4
2021-05-01,100.6
2021-06-01,106.9
2021-07-01,105.4
2021-08-01,104.1
2021-09-01,105.1
2021-10-01,109.7
2021-11-01,111.8
2021-12-01,104.1
2022-01-01,100.2
2022-02-01,102.8
2022-03-01,105.3
2022-04-01,106.2
2022-05-01,105.8
2022-06-01,108.6
2022-07-01,106.3
2022-08-01,107.8
2022-09-01,109.1
2022-10-01,110.4
2022-11-01,109.6
2022-12-01,111.9
2023-01-01,108.9
2023-02-01,110.3
2023-03-01,112.2
2023-04-01,111.8
2023-05-01,112.7
2023-06-01,113.2
2023-07-01,111.2
2023-08-01,113.8
2023-09-01,111.4
2023-10-01,111.0
2023-11-01,113.6
2023-12-01,112.9
2024-01-01,113.4
2024-02-01,112.4
2024-03-01,114.3
2024-04-01,112.2
2024-05-01,112.5
2024-06-01,111.6
2024-07-01,111.6
2024-08-01,111.0
2024-09-01,111.5
2024-10-01,112.6
2024-11-01,112.6
2024-12-01,114.5
2025-01-01,113.0
2025-02-01,114.5
2025-03-01,114.2
2025-04-01,115.6
2025-05-01,114.6
2025-06-01,115.4
2025-07-01,115.4
2025-08-01,115.2
2025-09-01,115.5
2025-10-01,114.7
2025-11-01,115.1
2025-12-01,114.7
2026-01-01,116.6
2026-02-01,115.8
2026-03-01,115.2
2026-04-01,115.1
2026-05-01,115.8
2026-06-01,116.4
2026-07-01,118.0
